accountCode,accountName,accountType,normalBalance,parentAccountCode,isActive
6661,ค่าพาหนะ ค่าใช้จ่ายในการเดินทาง และค่าที่พัก - พนักงานสำนักงาน,EXPENSE,DEBIT,,true
6701,ค่าใช้จ่ายเกี่ยวกับรถยนต์,EXPENSE,DEBIT,,true
6702,ค่าซ่อมแซมรถยนต์,EXPENSE,DEBIT,,true
6703,ค่าเช่ารถยนต์,EXPENSE,DEBIT,,true
6801,ค่าเช่าและค่าบริการ - สำนักงาน,EXPENSE,DEBIT,,true
6811,ค่าไฟ - สำนักงาน,EXPENSE,DEBIT,,true
6821,ค่าประปา - สำนักงาน,EXPENSE,DEBIT,,true
6831,ค่าไปรษณียากร - สำนักงาน,EXPENSE,DEBIT,,true
6841,ค่าโทรศัพท์ โทรสาร - สำนักงาน,EXPENSE,DEBIT,,true
6851,ค่าซ่อมแซมและรักษา - สำนักงาน,EXPENSE,DEBIT,,true
6901,ค่าวัสดุใช้ในสำนักงาน,EXPENSE,DEBIT,,true
6911,ค่าใช้จ่ายเกี่ยวกับคอมพิวเตอร์,EXPENSE,DEBIT,,true
6921,ค่าเบี้ยประกันภัย,EXPENSE,DEBIT,,true
6931,ค่าส่งเสริมการขาย,EXPENSE,DEBIT,,true
6941,ค่าธรรมเนียมธนาคาร,EXPENSE,DEBIT,,true
6951,ค่ารับรอง,EXPENSE,DEBIT,,true
6961,ค่าภาษีธุรกิจเฉพาะ,EXPENSE,DEBIT,,true
6962,ค่าภาษีอากรอื่น ๆ,EXPENSE,DEBIT,,true
6971,ค่าการกุศลสาธารณะ,EXPENSE,DEBIT,,true
6972,รายจ่ายเพื่อการศึกษาหรือเพื่อการกีฬา,EXPENSE,DEBIT,,true
6981,ค่าใช้จ่ายอื่น ๆ เกี่ยวกับบริหาร,EXPENSE,DEBIT,,true
7001,ค่าเสื่อมราคา - อาคาร,EXPENSE,DEBIT,,true
7011,ค่าเสื่อมราคา - เครื่องใช้และอุปกรณ์สำนักงาน,EXPENSE,DEBIT,,true
7012,ค่าเสื่อมราคา - เครื่องตกแต่งในสำนักงาน,EXPENSE,DEBIT,,true
7013,ค่าเสื่อมราคา - รถยนต์,EXPENSE,DEBIT,,true
7021,ค่าเสื่อมราคา - สิ่งปรับปรุงสินทรัพย์ - สำนักงานใหญ่,EXPENSE,DEBIT,,true
7031,ค่าตัดจำหน่าย,EXPENSE,DEBIT,,true
8001,ค่าเบี้ยประชุมกรรมการ,EXPENSE,DEBIT,,true
8011,ค่าสอบบัญชี,EXPENSE,DEBIT,,true
8021,ค่าที่ปรึกษา,EXPENSE,DEBIT,,true
8031,ค่าใช้จ่ายอื่นๆ เกี่ยวกับการจัดตั้งบริษัท,EXPENSE,DEBIT,,true
8201,ดอกเบี้ยจ่ายแก่ธนาคาร,EXPENSE,DEBIT,,true
8211,ดอกเบี้ยจ่ายแก่บริษัทที่เกี่ยวข้องกัน,EXPENSE,DEBIT,,true
8212,ดอกเบี้ยจ่ายอื่น ๆ,EXPENSE,DEBIT,,true
8401,กำไรหรือ(ขาดทุน)จากการแลกเปลี่ยนเงินตราต่างประเทศ,EXPENSE,DEBIT,,true
8402,กำไรหรือ(ขาดทุน)จากการจำหน่ายสินทรัพย์ถาวร,EXPENSE,DEBIT,,true
8403,กำไรหรือ(ขาดทุน)จากการปิดร้านที่จำหน่ายสินค้า,EXPENSE,DEBIT,,true
8501,หนี้สูญ,EXPENSE,DEBIT,,true
8601,รายได้หรือค่าใช้จ่ายที่ไม่เกี่ยวกับการบริหาร,EXPENSE,DEBIT,,true
9001,ค่าภาษีเงินได้นิติบุคคล,EXPENSE,DEBIT,,true
9101,รายการพิเศษ,EXPENSE,DEBIT,,true
