account_code,account_name,inferred_type,inferred_group,parent_note
4401,ภาษีเงินได้นิติบุคคลค้างจ่าย,LIABILITY,LIABILITY,from TB row order; no explicit parent id
4501,เงินเดือนค้างจ่าย,LIABILITY,LIABILITY,from TB row order; no explicit parent id
4502,เงินสะสมพนักงาน,LIABILITY,LIABILITY,from TB row order; no explicit parent id
4511,รายได้รับล่วงหน้า,LIABILITY,LIABILITY,from TB row order; no explicit parent id
4521,ค่าเช่าค้างจ่าย,LIABILITY,LIABILITY,from TB row order; no explicit parent id
4531,ค่าเบี้ยประกันภัยค้างจ่าย,LIABILITY,LIABILITY,from TB row order; no explicit parent id
4541,ค่าโทรศัพท์ ค่าโทรสาร ค้างจ่าย,LIABILITY,LIABILITY,from TB row order; no explicit parent id
4551,ค่าตรวจสอบบัญชีค้างจ่าย,LIABILITY,LIABILITY,from TB row order; no explicit parent id
4561,ค่าใช้จ่ายอื่น ๆ ค้างจ่าย,LIABILITY,LIABILITY,from TB row order; no explicit parent id
4571,ดอกเบี้ยจ่ายค้างจ่าย,LIABILITY,LIABILITY,from TB row order; no explicit parent id
4581,ดอกเบี้ยจ่ายค้างจ่ายบริษัทที่เกี่ยวข้องกัน,LIABILITY,LIABILITY,from TB row order; no explicit parent id
4582,ค่าใช้จ่ายค้างจ่ายบริษัทที่เกี่ยวข้องกัน,LIABILITY,LIABILITY,from TB row order; no explicit parent id
4601,ภาษีขาย,LIABILITY,LIABILITY,from TB row order; no explicit parent id
4602,ภาษีมูลค่าเพิ่มค้างจ่าย,LIABILITY,LIABILITY,from TB row order; no explicit parent id
4611,ภาษีเงินได้พนักงาน หัก ณ.ที่จ่ายค้างจ่าย,LIABILITY,LIABILITY,from TB row order; no explicit parent id
4612,ภาษีเงินได้ หัก ณ.ที่จ่ายค้างจ่าย,LIABILITY,LIABILITY,from TB row order; no explicit parent id
4613,ภาษีเงินได้นิติบุคคลค้างจ่าย,LIABILITY,LIABILITY,from TB row order; no explicit parent id
4621,ภาษีอากรอื่น ๆ ค้างจ่าย,LIABILITY,LIABILITY,from TB row order; no explicit parent id
4631,ประกันสังคมค้างจ่าย,LIABILITY,LIABILITY,from TB row order; no explicit parent id
4701,เงินกู้ยืมระยะยาวจากบุคคลหรือกิจการที่เกี่ยวข้องกัน,LIABILITY,LIABILITY,from TB row order; no explicit parent id
