entity,sourceCode,sourceName,accountType,normalBalance,isActive,migrationStatus,confidence,notes
ASAS,4401,ภาษีเงินได้นิติบุคคลค้างจ่าย,LIABILITY,CREDIT,true,MIGRATE,HIGH,Zero
ASAS,4501,เงินเดือนค้างจ่าย,LIABILITY,CREDIT,true,MIGRATE,HIGH,Non-zero
ASAS,4502,เงินสะสมพนักงาน,LIABILITY,CREDIT,true,MIGRATE,HIGH,Non-zero
ASAS,4511,รายได้รับล่วงหน้า,LIABILITY,CREDIT,true,MIGRATE,HIGH,Zero
ASAS,4521,ค่าเช่าค้างจ่าย,LIABILITY,CREDIT,true,MIGRATE,HIGH,Zero
ASAS,4531,ค่าเบี้ยประกันภัยค้างจ่าย,LIABILITY,CREDIT,true,MIGRATE,HIGH,Zero
ASAS,4541,ค่าโทรศัพท์ ค่าโทรสาร ค้างจ่าย,LIABILITY,CREDIT,true,MIGRATE,HIGH,Zero
ASAS,4551,ค่าตรวจสอบบัญชีค้างจ่าย,LIABILITY,CREDIT,true,MIGRATE,HIGH,Non-zero
ASAS,4561,ค่าใช้จ่ายอื่น ๆ ค้างจ่าย,LIABILITY,CREDIT,true,MIGRATE,HIGH,Non-zero
ASAS,4571,ดอกเบี้ยจ่ายค้างจ่าย,LIABILITY,CREDIT,true,MIGRATE,HIGH,Zero
ASAS,4581,ดอกเบี้ยจ่ายค้างจ่ายบริษัทที่เกี่ยวข้องกัน,LIABILITY,CREDIT,true,MIGRATE,HIGH,Zero
ASAS,4582,ค่าใช้จ่ายค้างจ่ายบริษัทที่เกี่ยวข้องกัน,LIABILITY,CREDIT,true,MIGRATE,HIGH,Zero
ASAS,4601,ภาษีขาย,LIABILITY,CREDIT,true,MIGRATE,HIGH,Zero
ASAS,4602,ภาษีมูลค่าเพิ่มค้างจ่าย,LIABILITY,CREDIT,true,MIGRATE,HIGH,Non-zero
ASAS,4611,ภาษีเงินได้พนักงาน หัก ณ.ที่จ่ายค้างจ่าย,LIABILITY,CREDIT,true,MIGRATE,HIGH,Non-zero
